Epic,Story ID,User Story,Description,Business Value,Effort,Dependencies
StatelessApp,US3.2,"As a Senior Infra I want to validate rollout behavior so that deployments are safe","Update app under load",34,13,US3.1
StatelessApp,US3.3,"As an Architect I want to validate config injection so that I ensure compatibility","ConfigMaps/env variables",21,8,US3.1
StatelessApp,US3.4,"As a Senior Infra I want to simulate runtime failure so that I validate recovery in real conditions","Kill app under load",34,13,US3.1
StatelessApp,US3.5,"As an Architect I want to compare behavior with current system so that I quantify improvement","Compare logs/latency",34,8,US3.2

StatefulApp,US4.1,"As a Senior Infra I want to deploy Postgres with CNPG so that I validate DB orchestration","Deploy cluster",34,13,
StatefulApp,US4.2,"As a Senior Infra I want to migrate schema so that I validate compatibility","Import schema/data",34,13,US4.1
StatefulApp,US4.3,"As a Senior Infra I want to simulate DB failover so that I validate consistency","Kill primary",34,13,US4.1
StatefulApp,US4.4,"As an Architect I want to validate app reconnection so that I ensure resilience","Test reconnect",34,13,US4.2
StatefulApp,US4.5,"As a Senior Infra I want to simulate corruption so that I validate recovery","Inject corruption",21,8,US4.2
StatefulApp,US4.6,"As an Architect I want to compare with Patroni so that I justify migration","Compare failover",34,8,US4.3

Network,US5.1,"As a Senior Infra I want to reproduce macvlan behavior so that I validate feasibility","Test macvlan equivalent",34,13,
Network,US5.2,"As a Senior Infra I want to validate robot communication so that I ensure system works","Test L2 communication over WiFi",34,13,US5.1
Network,US5.3,"As an Architect I want to analyze network constraints so that I identify incompatibilities","Document WiFi/L2 limits",34,8,US5.2
Network,US5.4,"As a Senior Infra I want to test alternative models so that I find viable solution","Test Multus/hostNetwork",34,13,US5.1
Network,US5.5,"As an Architect I want to measure latency/jitter so that I validate determinism","Measure network performance",34,13,US5.2
Network,US5.6,"As a Senior Infra I want to simulate robot disconnection so that I test resilience","Disconnect robots",34,13,US5.2
Network,US5.7,"As an Architect I want to define final networking model so that system is viable","Select approach",34,8,US5.4

Migration,US6.1,"As a Senior Infra I want to map internal deployment tool to Kubernetes so that I plan migration","Compare workflows",34,13,
Migration,US6.2,"As an Architect I want to define replacement strategy so that we remove Ansible dependency","Define CI/CD",34,13,US6.1
Migration,US6.3,"As a Senior Infra I want to prototype deployment pipeline so that I validate replacement","Build pipeline",34,13,US6.2
Migration,US6.4,"As a PM I want to define migration phases so that transition is safe","Define phases",34,13,US6.3

Architecture,US7.1,"As an Architect I want to design 2-rack architecture so that we ensure HA","Design topology",34,13,
Architecture,US7.2,"As an Architect I want to design 1-rack degraded architecture so that we understand limits","Design degraded mode",21,8,
Architecture,US7.3,"As a Senior Infra I want to validate quorum behavior so that system is consistent","Test quorum",34,13,
Architecture,US7.4,"As an Architect I want to define failure domains so that scheduling is correct","Define racks",34,8,
Architecture,US7.5,"As an Architect I want to define upgrade strategy so that deployments are safe","Define rolling updates",21,8,

TDR,US8.1,"As an Architect I want to write current state so that context is clear","Write section",21,8,
TDR,US8.2,"As an Architect I want to write failure analysis so that issues are clear","Write section",34,8,
TDR,US8.3,"As an Architect I want to write decision rationale so that choice is justified","Write section",34,8,
TDR,US8.4,"As an Architect I want to write architecture so that solution is defined","Write section",34,13,
TDR,US8.5,"As a PM I want to define migration plan so that execution is possible","Write plan",34,13,
TDR,US8.6,"As a PMO I want to validate TDR so that it is defensible","Review",34,8
